_key	r	g	b	hue	sat_1	value	lumo	sat_2	red	green	blue	yellow	cyan	magenta	orange	indigo	black	white	unknown	grey
Mosaic.jpg	189	214	222	194.55	0.15	1	0.81	0.33	0	0	0	0	0	0	0	0	200	16493	43200	0
Moving Out 2.jpg	153	171	157	133.33	0.11	1	0.64	0.1	415	0	2	429	277	5	733	0	1259	7003	41650	1550
Moving Out.jpg	149	156	153	154.29	0.04	1	0.6	0.03	981	0	0	377	0	0	1002	0	1074	2036	39747	3453
Ms. Pac-Man - Maze Madness.jpg	155	137	74	46.67	0.52	1	0.45	0.35	647	0	0	8514	3	3	6362	2	1895	663	42938	262
Muramasa - The Demon Blade.jpg	138	101	88	15.6	0.36	1	0.44	0.22	296	0	2	640	0	0	2322	0	2378	1320	42277	923
Murders on the Yangtze River.jpg	154	159	166	215	0.07	1	0.63	0.06	0	0	0	0	0	0	0	0	628	1140	28475	14725
Musashi - Samurai Legend.jpg	61	43	46	350	0.3	0	0.2	0.17	541	0	0	3	0	0	57	0	25949	237	41322	1878
Muse Dash.jpg	169	115	202	277.24	0.43	1	0.62	0.45	0	0	741	538	80	2964	2110	63	0	2380	43185	15
Mutant Year Zero - Road To Eden.jpg	71	69	59	50	0.17	0	0.25	0.09	0	0	0	0	0	0	66	0	19352	1259	41408	1792
Mutazione.jpg	65	56	54	10.91	0.17	0	0.23	0.09	0	0	0	0	0	0	26	0	22626	781	37950	5250
My Brother Rabbit.jpg	111	86	128	275.71	0.33	1	0.42	0.2	0	0	0	0	0	0	7	0	9786	1714	43200	0
My Friend Pedro.jpg	171	154	114	42.11	0.33	1	0.56	0.25	1926	0	7	3991	0	0	2258	0	1097	3607	42760	440
My Friendly Neighborhood.jpg	91	58	47	15	0.48	0	0.27	0.32	5	0	0	0	0	0	227	0	15924	1652	42807	393
My Time at Portia.jpg	168	179	159	93	0.11	1	0.66	0.12	103	0	0	1215	209	0	2555	0	0	3003	42705	495
Myst.jpg	112	121	123	190.91	0.09	0	0.46	0.05	0	0	0	0	0	0	0	0	9496	6483	42030	1170
Mystery Dungeon - Shiren the Wanderer.jpg	114	90	74	24	0.35	0	0.37	0.21	682	0	0	433	0	0	1744	0	8292	726	42360	840
Mystery Dungeon Shiren The Wanderer 3.jpg	100	88	67	38.18	0.33	0	0.33	0.2	525	0	0	228	0	0	648	0	13809	2902	42266	934
Mystical Ninja - Starring Goemon.jpg	188	168	162	13.85	0.14	1	0.69	0.16	1746	0	0	20	0	0	501	0	4401	20175	42274	926
Mystical Ninja 2 - Starring Goemon.jpg	147	109	92	18.55	0.37	1	0.47	0.23	3451	29	4	501	0	0	2135	55	2917	2337	42940	260
N+.jpg	101	128	151	207.6	0.33	1	0.49	0.2	0	0	0	621	0	0	919	0	8298	3957	42831	369
NAIRI - Tower of Shirin.jpg	149	136	125	27.5	0.16	1	0.54	0.1	18	0	0	267	0	0	368	0	1472	3323	39667	3533
NaissanceE.jpg	42	45	40	96	0.11	0	0.17	0.06	0	0	0	0	0	0	0	0	35312	1533	38135	5065
Nanotale Typing Chronicles.jpg	95	116	118	185.22	0.19	0	0.42	0.11	3	0	0	0	49	0	0	0	6775	2301	41134	2066
Narita Boy.jpg	24	39	67	219.07	0.64	0	0.18	0.47	25	0	107	222	141	0	491	0	21778	925	43128	72
Naruto - Ultimate Ninja Heroes 2 - Phantom Fortress.jpg	157	103	86	14.37	0.45	1	0.48	0.29	3869	0	0	1879	1	0	2772	0	4588	2533	42750	450
Naruto - Ultimate Ninja Heroes.jpg	152	95	49	26.8	0.68	1	0.39	0.51	3015	0	0	2746	0	0	4020	0	6870	1942	42722	478
Naruto Shippuden - Kizuna Drive.jpg	145	124	114	19.35	0.21	1	0.51	0.12	1450	0	0	809	129	0	2900	9	2710	3175	42440	760
Naruto Shippuden - Ultimate Ninja Heroes 3.jpg	136	106	113	346	0.22	1	0.47	0.12	1043	0	156	461	28	1	2448	6	4510	6602	42398	802
Naruto Shippuden - Ultimate Ninja Impact.jpg	124	82	80	2.73	0.35	0	0.4	0.22	1812	0	37	352	1	0	943	8	4866	1401	42510	690
Naruto Shippuden - Ultimate Ninja Storm 2.jpg	119	121	119	120	0.02	0	0.47	0.01	771	0	0	184	10	0	207	0	2594	3208	40965	2235
Naruto Shippuden - Ultimate Ninja Storm 3.jpg	128	103	79	29.39	0.38	1	0.41	0.24	393	0	0	1827	42	0	2062	0	7471	1071	41050	2150
Naruto Shippuden - Ultimate Ninja Storm 4.jpg	155	164	151	101.54	0.08	1	0.62	0.07	99	0	34	803	78	0	1082	0	1040	8023	42312	888
Naruto Shippuden Legends - Akatsuki Rising.jpg	116	70	63	7.92	0.46	0	0.35	0.3	1623	0	0	654	37	0	1673	0	10315	1851	41577	1623
Naruto Ultimate Ninja Storm.jpg	175	159	164	341.25	0.09	1	0.65	0.09	82	0	190	556	1	0	548	21	1379	11590	42905	295
Natsuki Chronicles.jpg	137	117	109	17.14	0.2	1	0.48	0.11	37	0	98	108	75	0	404	0	5043	2441	37816	5384
NBA Street.jpg	131	117	123	334.29	0.11	1	0.49	0.06	534	0	0	379	0	0	1722	2	3120	6186	41548	1652
Nebuchadnezzar.jpg	93	81	68	31.2	0.27	0	0.32	0.16	0	0	0	0	0	0	0	0	8102	9	39022	4178
Necrobarista.jpg	65	75	81	202.5	0.2	0	0.29	0.11	67	0	0	0	0	0	3	0	16414	2592	41635	1565
Need for Speed Carbon.jpg	84	79	84	300	0.06	0	0.32	0.03	50	0	0	1	0	0	4	0	15804	4967	41349	1851
Need for Speed Undercover.jpg	119	88	45	34.86	0.62	0	0.32	0.45	9	0	0	33	0	0	6201	0	14978	1470	42589	611
Neighbors Back From Hell.jpg	122	93	62	31	0.49	0	0.36	0.33	157	0	18	22	0	0	1855	6	2395	246	42558	642
Neighbors from Hell 2 - On Vacation.jpg	107	132	132	180	0.19	1	0.47	0.1	1229	0	0	908	224	0	1193	0	6405	4452	41951	1249
Neighbors From Hell.jpg	91	84	80	21.82	0.12	0	0.34	0.06	847	0	0	11	0	0	375	0	7793	1961	38082	5118
NEO - The World Ends with You.jpg	61	60	64	255	0.06	0	0.24	0.03	0	0	0	0	1	0	25	0	22497	1793	34389	8811
Neon White.jpg	84	135	176	206.74	0.52	1	0.51	0.37	60	0	326	0	1956	0	0	7	3499	6892	42730	470
Neva.jpg	212	187	204	319.2	0.12	1	0.78	0.23	0	0	0	0	0	0	0	0	0	24051	43194	6
Never Alone.jpg	66	71	76	210	0.13	0	0.28	0.07	0	0	0	0	0	0	0	0	20671	3084	40899	2301
NeverAwake.jpg	145	83	123	321.29	0.43	1	0.45	0.27	7	0	0	0	0	4	0	0	4981	2801	42974	226
