Index,Title,RED,GREEN,BLUE,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2,RGB AVG
1107,Legend of Legaia,73.67,57.02,55.41,0.01,0.25,73.67,0.01,64.54,-0.14,62.03
2315,Tomba!,151.66,115.51,112.97,0.01,0.26,151.66,0.01,132.32,-0.15,126.72
1236,Max Payne,68.03,51.91,50.45,0.01,0.26,68.03,0.01,59.24,-0.15,56.79
1182,Mafia,140.89,106.03,103.02,0.01,0.27,140.89,0.01,121.96,-0.16,116.65
1274,Metroid - Samus Returns,66.21,49.56,48.20,0.01,0.27,66.21,0.01,57.20,-0.16,54.65
1437,Oddworld - Abe's Oddysee,36.70,26.33,25.87,0.01,0.29,36.70,0.01,31.28,-0.18,29.63
1122,Lightning Warrior Raidy II Temple of Desire,134.71,96.68,93.79,0.01,0.30,134.71,0.01,114.25,-0.18,108.39
27,Abyss Odyssey,47.96,34.07,33.43,0.01,0.30,47.96,0.01,40.70,-0.18,38.49
89,Apollo Justice - Ace Attorney,121.14,83.92,81.44,0.01,0.33,121.14,0.01,101.29,-0.20,95.50
2371,UFO 50,145.66,99.73,97.60,0.01,0.33,145.66,0.01,121.63,-0.20,114.33
1657,Ravenlok,79.29,54.80,52.92,0.01,0.33,79.29,0.01,66.10,-0.20,62.34
873,Guacamelee 2,45.80,30.86,30.01,0.01,0.34,45.80,0.01,37.91,-0.21,35.56
1361,Naruto Shippuden - Ultimate Ninja Impact,116.49,77.31,76.08,0.01,0.35,116.49,0.01,96.28,-0.21,89.96
1601,Profane,24.29,16.04,15.67,0.01,0.35,24.29,0.01,19.98,-0.23,18.67
497,Devil May Cry,46.02,30.43,29.73,0.01,0.35,46.02,0.01,37.87,-0.22,35.39
352,Clock Tower 2 - The Struggle within,73.63,47.74,46.40,0.01,0.37,73.63,0.01,60.01,-0.23,55.92
727,Final Fantasy VII - Dirge of Cerberus,83.20,53.14,51.32,0.01,0.38,83.20,0.01,67.26,-0.24,62.55
1732,Robot Alchemic Drive,120.80,76.33,73.21,0.01,0.39,120.80,0.01,97.01,-0.25,90.11
1490,Paper Beast,131.60,81.38,78.55,0.01,0.40,131.60,0.01,105.08,-0.25,97.18
2398,Unreal Tournament 3,135.51,83.26,81.54,0.01,0.40,135.51,0.01,108.53,-0.25,100.10
2490,Wild Arms 5,134.33,81.27,78.70,0.01,0.41,134.33,0.01,106.51,-0.26,98.10
1981,SteamWorld Heist,111.43,63.18,61.21,0.01,0.45,111.43,0.01,86.32,-0.29,78.61
878,Gungrave Overdose,66.93,39.05,37.05,0.01,0.45,66.93,0.01,51.99,-0.29,47.67
1671,Red Dead Redemption,128.52,62.18,57.44,0.01,0.55,128.52,0.01,92.98,-0.39,82.71
875,GUILTY GEAR -STRIVE,85.60,40.06,38.52,0.01,0.55,85.60,0.01,62.06,-0.39,54.73
2150,The Eternal Cylinder,135.05,61.14,57.34,0.01,0.58,135.05,0.01,96.20,-0.41,84.51
2114,Tenchu Wrath of Heaven,107.87,39.43,36.73,0.01,0.66,107.87,0.01,72.30,-0.50,61.34
702,Fighting Force,89.55,35.03,30.45,0.01,0.66,89.55,0.01,60.00,-0.50,51.68
1936,Spider Man 2,99.04,36.58,31.97,0.01,0.68,99.04,0.01,65.51,-0.52,55.87
1060,Killer7,68.92,24.57,21.31,0.01,0.69,68.92,0.01,45.12,-0.54,38.27
2106,Tekken 7,112.22,33.73,27.35,0.01,0.76,112.22,0.01,69.79,-0.62,57.77
1852,SIFU,93.71,21.98,17.61,0.01,0.81,93.71,0.01,55.66,-0.70,44.43
1178,MadWorld,151.54,150.52,150.41,0.02,0.01,151.54,0.02,150.98,0.00,150.82
2058,Syberia Collection,166.53,163.90,163.47,0.02,0.02,166.53,0.02,165.00,-0.01,164.64
2240,The Suffering - Ties That Bind,75.08,72.34,71.91,0.02,0.04,75.08,0.02,73.50,-0.02,73.11
371,Concrete Genie,100.79,96.50,95.95,0.02,0.05,100.79,0.02,98.37,-0.02,97.74
169,Banner of the Maid,173.10,163.37,161.93,0.02,0.06,173.10,0.02,167.52,-0.03,166.14
1571,Pokémon Mystery Dungeon - Explorers of Darkness,89.35,82.84,81.87,0.02,0.08,89.35,0.02,85.61,-0.04,84.69
2093,Teardown,99.27,92.05,91.05,0.02,0.08,99.27,0.02,95.16,-0.04,94.12
944,Hitman - Contracts,113.69,104.91,103.48,0.02,0.09,113.69,0.02,108.59,-0.05,107.36
406,Cris Tales,148.41,136.22,134.99,0.02,0.09,148.41,0.02,141.70,-0.05,139.87
