Name,r,g,b,hue,sat_1,value,lumo,Custom Order,sat_2,red,green,blue,yellow,cyan,magenta,orange,indigo,black,white,unknown,grey
Crypt Custodian,162,168,170,195,0.05,1,0.65,B,0.04,14,0,0,0,0,0,0,0,2018,20079,43038,162
Dissidia 012 Final Fantasy,95,98,99,195,0.04,0,0.38,B,0.02,0,0,0,0,0,0,0,0,10399,2545,40519,2681
Brutal Legend,80,89,92,195,0.13,0,0.34,B,0.07,0,0,0,0,0,0,0,0,13229,890,40895,2305
Dust An Elysian Tail,79,82,83,195,0.05,0,0.32,B,0.02,0,0,0,0,22,0,0,0,19952,4202,33719,9481
Sea of Solitude,22,133,171,195.3,0.87,1,0.38,B,0.77,2,0,20,0,13408,0,4,0,2040,823,43111,89
Coromon,94,137,152,195.52,0.38,1,0.48,B,0.24,52,0,758,468,149,0,789,0,550,2140,42968,232
Shin Chan - Me and the Professor on Summer Vacation,90,150,171,195.56,0.47,1,0.51,B,0.33,3,0,0,3,0,0,0,0,152,4341,42193,1007
Prince of Persia - The Lost Crown,122,155,167,196,0.27,1,0.57,B,0.2,0,0,163,0,921,0,6,0,371,4164,42720,480
The Pale Beyond,66,77,81,196,0.19,0,0.29,B,0.1,0,0,0,0,0,0,0,0,19279,1087,40185,3015
The Last Hero of Nostalgaia,40,78,92,196.15,0.57,0,0.26,B,0.39,0,0,0,15,0,0,90,0,9211,161,42851,349
Song of the Deep,71,106,119,196.25,0.4,0,0.37,B,0.25,0,0,0,0,12,0,0,0,11320,2803,42930,270
Pacific Drive,47,87,102,196.36,0.54,0,0.29,B,0.37,22,0,0,0,0,0,5,0,8074,2786,43110,90
Halo Wars,47,71,80,196.36,0.41,0,0.25,B,0.26,0,0,0,0,0,0,4,0,15245,151,42410,790
Risk of Rain 2,96,161,186,196.67,0.48,1,0.55,B,0.39,0,0,0,1,1559,0,29,0,15,10064,43093,107
Assassin's Creed Rogue,125,143,150,196.8,0.17,1,0.54,B,0.11,0,0,0,0,0,0,0,0,3880,10113,41707,1493
Stela,135,150,156,197.14,0.13,1,0.57,B,0.1,0,0,0,0,0,0,0,0,0,1379,42295,905
Divine Divinity,56,71,77,197.14,0.27,0,0.26,B,0.16,17,0,0,0,0,0,1,0,17545,2157,41155,2045
Abandon Ship,56,66,70,197.14,0.2,0,0.25,B,0.11,0,0,0,0,0,0,29,0,19280,129,41837,1363
CONVERGENCE A League of Legends Story,85,122,137,197.31,0.38,1,0.44,B,0.23,6,0,0,0,1491,0,0,441,2346,2330,42747,453
Styx - Shards of Darkness,50,72,81,197.42,0.38,0,0.26,B,0.24,0,0,0,0,0,0,0,0,14299,698,41891,1309
