Index,Title,RED,GREEN,BLUE,CLUSTERS,HUE,SATURATION,VALUE,HUE,LUMO,SATURATION 2
1147,Lost Dimension,125.06,97.60,80.89,44.17,0.06,0.35,125.06,0.06,103,-0.22
158,Baldur's Gate - Dark Alliance,132.71,103.55,88.01,44.7,0.06,0.34,132.71,0.06,110,-0.20
679,Fallout,100.86,72.44,54.91,45.95,0.06,0.46,100.86,0.06,78,-0.30
1073,Kingdom Two Crowns,116.45,88.15,70.43,46.02,0.06,0.40,116.45,0.06,93,-0.25
984,IMMORTALITY,102.76,73.27,56.28,46.48,0.06,0.45,102.76,0.06,80,-0.30
284,Bushido Blade 2,161.83,131.92,113.73,48.1,0.06,0.30,161.83,0.06,138,-0.18
2383,Uncharted 3 - Drake's Deception,135.95,104.06,87.49,48.46,0.06,0.36,135.95,0.06,112,-0.22
351,Clid The Snail,98.92,68.02,50.27,48.65,0.06,0.49,98.92,0.06,75,-0.33
318,Cat Quest III,148.29,117.12,99.59,48.7,0.06,0.33,148.29,0.06,124,-0.20
1149,Lost in Play,164.04,132.24,115.19,48.85,0.06,0.30,164.04,0.06,140,-0.18
2126,The Baconing,85.32,54.47,35.14,50.18,0.06,0.59,85.32,0.06,60,-0.42
1102,Legacy of Kain - Defiance,89.61,56.26,39.09,50.52,0.06,0.56,89.61,0.06,64,-0.40
1456,One Piece - Pirate Warriors 3,131.91,100.28,80.66,51.25,0.06,0.39,131.91,0.06,106,-0.24
1481,Overlord + Raising Hell,85.32,51.82,33.71,51.61,0.06,0.60,85.32,0.06,60,-0.44
2321,Torchlight,116.99,83.49,65.22,51.77,0.06,0.44,116.99,0.06,91,-0.29
1579,Pokémon Stadium,147.99,115.93,96.14,51.85,0.06,0.35,147.99,0.06,122,-0.21
2034,Super Mario RPG,204.45,172.48,152.35,52.1,0.06,0.25,204.45,0.06,178,-0.15
670,Fable III,131.85,99.85,79.39,52.46,0.06,0.40,131.85,0.06,106,-0.25
2506,Wizard with a Gun,74.62,40.16,21.76,52.86,0.06,0.71,74.62,0.06,48,-0.56
580,Drakan - The Ancients' Gates,126.05,90.04,69.11,56.94,0.06,0.45,126.05,0.06,98,-0.29
401,Crazy Machines,154.99,119.00,97.81,57.18,0.06,0.37,154.99,0.06,126,-0.23
2204,The Lord of the Rings - The Third Age,98.18,57.88,36.18,62,0.06,0.63,98.18,0.06,67,-0.47
544,Doom II - Hell on Earth,99.22,57.53,34.04,65.18,0.06,0.66,99.22,0.06,67,-0.50
1089,La-Mulana,109.38,66.90,43.89,65.49,0.06,0.60,109.38,0.06,77,-0.43
1887,Slender The Arrival,100.53,58.98,33.88,66.65,0.06,0.66,100.53,0.06,67,-0.50
2104,Tekken 5,125.85,84.95,59.09,66.76,0.06,0.53,125.85,0.06,92,-0.36
1179,Mafia - Definitive Edition,163.27,118.83,95.92,67.35,0.06,0.41,163.27,0.06,130,-0.26
1407,Nine Sols,118.95,75.58,51.36,67.59,0.06,0.57,118.95,0.06,85,-0.40
